category,name_en,image_url
topic,dad,/symbols/mulberry/dad.svg
topic,sister,/symbols/mulberry/sister.svg
topic,brother,/symbols/mulberry/brother.svg
topic,daughter,/symbols/mulberry/daughter.svg
topic,son,/symbols/mulberry/son.svg
topic,baby,/symbols/mulberry/baby.svg
topic,fairy,/symbols/mulberry/fairy.svg
topic,ghost,/symbols/mulberry/ghost.svg
topic,elf,/symbols/mulberry/elf.svg
topic,witch,/symbols/mulberry/witch.svg
topic,monster,/symbols/mulberry/monster.svg
topic,teacher,/symbols/mulberry/teacher_1b.svg
topic,doctor,/symbols/mulberry/doctor_1a.svg
topic,nurse,/symbols/mulberry/nurse_2a.svg
topic,speech language therapist,/symbols/mulberry/speech_language_therapist_1b.svg
topic,police,/symbols/mulberry/police_1b.svg
topic,delivery person,/symbols/mulberry/delivery_person_1a.svg
topic,post person,/symbols/mulberry/post_person_1a.svg
topic,dentist,/symbols/mulberry/dentist_1a.svg
topic,carpenter,/symbols/mulberry/carpenter_1b.svg
topic,secretary,/symbols/mulberry/secretary_1a.svg
topic,taxi driver,/symbols/mulberry/taxi_driver_1c.svg
topic,gardener,/symbols/mulberry/gardener_2b.svg
topic,IT assistant,/symbols/mulberry/it_assistant_2b.svg
topic,It is,/symbols/arasaac/it_is.png
topic,circle,/symbols/mulberry/circle.svg
topic,oval,/symbols/mulberry/oval.svg
topic,triangle equilateral,/symbols/mulberry/triangle_equilateral.svg
topic,square,/symbols/mulberry/square.svg
topic,rectangle,/symbols/mulberry/rectangle.svg
topic,pentagon,/symbols/mulberry/pentagon.svg
topic,hexagon,/symbols/mulberry/hexagon.svg
topic,octagon,/symbols/mulberry/octagon.svg
topic,star,/symbols/mulberry/star_2.svg
topic,diamond,/symbols/mulberry/diamond.svg
topic,pyramid triangular base,/symbols/mulberry/pyramid_triangular_base.svg
topic,ugly,/symbols/mulberry/ugly.svg
topic,pretty,/symbols/mulberry/pretty.svg
topic,large,/symbols/mulberry/large.svg
topic,little,/symbols/mulberry/little.svg
topic,same,/symbols/mulberry/same.svg
topic,old,/symbols/mulberry/old_object.svg
topic,fast,/symbols/mulberry/fast_2.svg
topic,dirty,/symbols/mulberry/dirty.svg
topic,quiet,/symbols/mulberry/quiet.svg
